date,vote romney,isPartial
2012-08-06,0,False
2012-08-07,0,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,15,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,12,False
2012-08-18,0,False
2012-08-19,0,False
2012-08-20,0,False
2012-08-21,0,False
2012-08-22,0,False
2012-08-23,0,False
2012-08-24,12,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,11,False
2012-08-28,0,False
2012-08-29,8,False
2012-08-30,8,False
2012-08-31,8,False
2012-09-01,10,False
2012-09-02,0,False
2012-09-03,0,False
2012-09-04,10,False
2012-09-05,11,False
2012-09-06,11,False
2012-09-07,22,False
2012-09-08,25,False
2012-09-09,0,False
2012-09-10,0,False
2012-09-11,8,False
2012-09-12,0,False
2012-09-13,8,False
2012-09-14,8,False
2012-09-15,0,False
2012-09-16,9,False
2012-09-17,0,False
2012-09-18,9,False
2012-09-19,0,False
2012-09-20,10,False
2012-09-21,0,False
2012-09-22,13,False
2012-09-23,25,False
2012-09-24,0,False
2012-09-25,8,False
2012-09-26,8,False
2012-09-27,0,False
2012-09-28,17,False
2012-09-29,9,False
2012-09-30,0,False
2012-10-01,9,False
2012-10-02,0,False
2012-10-03,0,False
2012-10-04,10,False
2012-10-05,10,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,0,False
2012-10-09,9,False
2012-10-10,9,False
2012-10-11,0,False
2012-10-12,0,False
2012-10-13,11,False
2012-10-14,0,False
2012-10-15,9,False
2012-10-16,0,False
2012-10-17,18,False
2012-10-18,9,False
2012-10-19,0,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,9,False
2012-10-23,9,False
2012-10-24,19,False
2012-10-25,18,False
2012-10-26,0,False
2012-10-27,11,False
2012-10-28,11,False
2012-10-29,8,False
2012-10-30,17,False
2012-10-31,9,False
2012-11-01,19,False
2012-11-02,9,False
2012-11-03,23,False
2012-11-04,11,False
2012-11-05,37,False
2012-11-06,100,False
