date,score
2020-05-26,1.1578947368421053
2020-05-27,1.1578947368421053
2020-05-28,1.1578947368421053
2020-05-29,1.1578947368421053
2020-05-30,1.1578947368421053
2020-05-31,1.1578947368421053
2020-06-01,1.1578947368421053
2020-06-02,1.1578947368421053
2020-06-03,2.0
2020-06-03,1.0
2020-06-03,2.0
2020-06-03,2.0
2020-06-03,2.0
2020-06-03,2.0
2020-06-03,1.0
2020-06-04,2.0
2020-06-04,1.0
2020-06-05,1.1578947368421053
2020-06-06,1.0
2020-06-07,1.0
2020-06-08,1.1578947368421053
2020-06-09,1.1578947368421053
2020-06-10,1.0
2020-06-11,1.0
2020-06-11,2.0
2020-06-12,1.0
2020-06-13,1.0
2020-06-13,2.0
2020-06-14,1.1578947368421053
2020-06-15,2.0
2020-06-15,1.0
2020-06-16,2.0
2020-06-16,2.0
2020-06-16,1.0
2020-06-17,2.0
2020-06-17,2.0
2020-06-17,1.0
2020-06-18,1.0
2020-06-18,2.0
2020-06-19,2.0
2020-06-19,1.0
2020-06-19,2.0
2020-06-19,1.0
2020-06-20,2.0
2020-06-21,2.0
2020-06-22,2.0
2020-06-22,3.0
2020-06-23,2.0
2020-06-23,2.0
2020-06-24,2.0
2020-06-24,2.0
2020-06-25,2.0
2020-06-25,2.0
2020-06-25,3.0
2020-06-25,2.0
2020-06-26,3.0
2020-06-27,2.0
