,date,score
0,2012-10-18,1.0245398773006136
1,2012-10-19,1.0173160173160174
2,2012-10-20,1.0376569037656904
3,2012-10-21,1.0125260960334028
4,2012-10-22,0.981404958677686
5,2012-10-23,1.0489795918367346
6,2012-10-24,1.0504385964912282
7,2012-10-25,1.0209205020920502
8,2012-10-26,1.0269151138716357
9,2012-10-27,1.0311850311850312
10,2012-10-28,1.0166666666666666
11,2012-10-29,1.010438413361169
12,2012-10-30,1.031055900621118
13,2012-10-31,1.024742268041237
14,2012-11-01,1.053763440860215
15,2012-11-02,1.0610526315789475
16,2012-11-03,1.04149377593361
17,2012-11-04,1.0521920668058455
